in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
-1.6,1,-2,0.009914,933.517775,0.004957,29.81213,0.37349,0.186745,False,dy_4-1.6_dx_01_dy_0-2.png
-1.2,1,-2,0.012101,929.593143,0.00605,35.488684,0.439389,0.219694,False,dy_4-1.2_dx_01_dy_0-2.png
-0.8,1,-2,0.016326,932.541166,0.008163,53.250337,0.413871,0.206935,False,dy_4-0.8_dx_01_dy_0-2.png
-0.4,1,-2,0.023837,944.170288,0.011919,72.429933,0.386233,0.193117,False,dy_4-0.4_dx_01_dy_0-2.png
0,1,-2,0.030659,965.975051,0.01533,88.087659,0.396298,0.198149,False,dy_40_dx_01_dy_0-2.png
0.4,1,-2,0.026811,998.548901,0.013405,145.501776,0.303744,0.151872,False,dy_40.4_dx_01_dy_0-2.png
0.8,1,-2,0.019305,1041.298391,0.009652,117.940088,0.140727,0.070364,False,dy_40.8_dx_01_dy_0-2.png
1.2,1,-2,0.014689,1092.728981,0.007344,109.474338,0.094351,0.047176,False,dy_41.2_dx_01_dy_0-2.png
1.6,1,-2,0.012391,1151.032226,0.006196,119.699962,0.071267,0.035634,False,dy_41.6_dx_01_dy_0-2.png
2,1,-2,0.011333,1214.543377,0.005667,145.426926,0.053864,0.026932,False,dy_42_dx_01_dy_0-2.png
-2,-1,-1.5,0.014335,1276.535204,0.007167,37.663971,0.363209,0.181604,False,dy_4-2_dx_0-1_dy_0-1.5.png
-1.6,-1,-1.5,0.014299,1258.106425,0.00715,49.106615,0.392915,0.196457,False,dy_4-1.6_dx_0-1_dy_0-1.5.png
-1.2,-1,-1.5,0.015317,1253.121529,0.007659,68.95758,0.431551,0.215775,False,dy_4-1.2_dx_0-1_dy_0-1.5.png
-0.8,-1,-1.5,0.01817,1261.440644,0.009085,97.304198,0.48681,0.243405,False,dy_4-0.8_dx_0-1_dy_0-1.5.png
-0.4,-1,-1.5,0.02272,1283.281941,0.01136,130.247564,0.462517,0.231258,False,dy_4-0.4_dx_0-1_dy_0-1.5.png
0,-1,-1.5,0.024698,1318.893721,0.012349,141.693908,0.421323,0.210661,False,dy_40_dx_0-1_dy_0-1.5.png
0.4,-1,-1.5,0.020369,1367.947128,0.010184,197.157152,0.283374,0.141687,False,dy_40.4_dx_0-1_dy_0-1.5.png
0.8,-1,-1.5,0.015114,1429.181715,0.007557,151.397318,0.134338,0.067169,False,dy_40.8_dx_0-1_dy_0-1.5.png
1.2,-1,-1.5,0.011896,1500.622532,0.005948,138.514591,0.091184,0.045592,False,dy_41.2_dx_0-1_dy_0-1.5.png
1.6,-1,-1.5,0.010241,1580.113006,0.00512,150.807704,0.069301,0.03465,False,dy_41.6_dx_0-1_dy_0-1.5.png
2,-1,-1.5,0.009461,1665.733279,0.004731,164.458266,0.06022,0.03011,False,dy_42_dx_0-1_dy_0-1.5.png
-2,-0.8,-1.5,0.013997,1224.139861,0.006998,35.912793,0.360067,0.180033,False,dy_4-2_dx_0-0.8_dy_0-1.5.png
-1.6,-0.8,-1.5,0.013608,1207.436054,0.006804,46.472565,0.385258,0.192629,False,dy_4-1.6_dx_0-0.8_dy_0-1.5.png
-1.2,-0.8,-1.5,0.014339,1204.585284,0.00717,57.165778,0.421939,0.21097,False,dy_4-1.2_dx_0-0.8_dy_0-1.5.png
-0.8,-0.8,-1.5,0.016821,1215.081514,0.00841,95.022268,0.401358,0.200679,False,dy_4-0.8_dx_0-0.8_dy_0-1.5.png
-0.4,-0.8,-1.5,0.02087,1238.943058,0.010435,110.482027,0.443229,0.221614,False,dy_4-0.4_dx_0-0.8_dy_0-1.5.png
0,-0.8,-1.5,0.022858,1276.343746,0.011429,136.348975,0.405546,0.202773,False,dy_40_dx_0-0.8_dy_0-1.5.png
0.4,-0.8,-1.5,0.019326,1326.947542,0.009663,179.070554,0.281724,0.140862,False,dy_40.4_dx_0-0.8_dy_0-1.5.png
0.8,-0.8,-1.5,0.014642,1389.515262,0.007321,149.512621,0.134173,0.067086,False,dy_40.8_dx_0-0.8_dy_0-1.5.png
1.2,-0.8,-1.5,0.011658,1462.101701,0.005829,137.066115,0.091152,0.045576,False,dy_41.2_dx_0-0.8_dy_0-1.5.png
1.6,-0.8,-1.5,0.010098,1542.579798,0.005049,149.455603,0.069307,0.034653,False,dy_41.6_dx_0-0.8_dy_0-1.5.png
2,-0.8,-1.5,0.009363,1629.055811,0.004681,163.18967,0.060238,0.030119,False,dy_42_dx_0-0.8_dy_0-1.5.png
-2,-0.6,-1.5,0.013541,1174.106348,0.006771,34.193263,0.355798,0.177899,False,dy_4-2_dx_0-0.6_dy_0-1.5.png
-1.6,-0.6,-1.5,0.012813,1159.461248,0.006407,38.595257,0.37751,0.188755,False,dy_4-1.6_dx_0-0.6_dy_0-1.5.png
-1.2,-0.6,-1.5,0.01335,1159.043607,0.006675,56.92578,0.371425,0.185713,False,dy_4-1.2_dx_0-0.6_dy_0-1.5.png
